subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
06	 1	 1	 62	 69	 77	 8	 1.770000e+00	 15	 35	 1.321375e+04	 1.321891e+04	 1.322173e+04	 1.322394e+04	 NaN	 1.320870e+04	 
06	 2	 1	 48	 71	 60	 -11	 2.200000e+00	 15	 35	 1.322496e+04	 1.322682e+04	 1.323005e+04	 1.323262e+04	 NaN	 1.320870e+04	 
06	 3	 1	 1	 75	 95	 20	 2.010000e+00	 15	 35	 1.323363e+04	 1.323800e+04	 1.324102e+04	 1.324328e+04	 NaN	 1.320870e+04	 
06	 4	 1	 61	 75	 87	 12	 1.900000e+00	 15	 35	 1.324430e+04	 1.324920e+04	 1.325211e+04	 1.325479e+04	 NaN	 1.320870e+04	 
06	 5	 1	 4	 97	 53	 -44	 2.800000e+00	 15	 35	 1.325581e+04	 1.326330e+04	 1.326711e+04	 1.326991e+04	 NaN	 1.320870e+04	 
06	 6	 1	 3	 22	 42	 20	 2.340000e+00	 5	 65	 1.327093e+04	 1.327319e+04	 1.327654e+04	 1.327874e+04	 NaN	 1.320870e+04	 
06	 7	 1	 74	 62	 37	 -25	 1.890000e+00	 5	 65	 1.327975e+04	 1.328223e+04	 1.328513e+04	 1.328748e+04	 NaN	 1.320870e+04	 
06	 8	 1	 22	 59	 43	 -16	 2.500000e+00	 5	 65	 1.328849e+04	 1.329401e+04	 1.329751e+04	 1.330099e+04	 NaN	 1.320870e+04	 
06	 9	 1	 74	 47	 35	 -12	 2.230000e+00	 5	 65	 1.330200e+04	 1.330325e+04	 1.330648e+04	 1.331048e+04	 NaN	 1.320870e+04	 
06	 10	 1	 48	 55	 31	 -24	 1.790000e+00	 5	 65	 1.331150e+04	 1.331710e+04	 1.331990e+04	 1.332354e+04	 NaN	 1.320870e+04	 
06	 11	 1	 39	 61	 74	 13	 1.830000e+00	 5	 65	 1.332457e+04	 1.332652e+04	 1.332935e+04	 1.333238e+04	 NaN	 1.320870e+04	 
06	 12	 1	 86	 92	 35	 -57	 2.190000e+00	 15	 35	 1.333340e+04	 1.333503e+04	 1.333823e+04	 1.334076e+04	 NaN	 1.320870e+04	 
06	 13	 1	 97	 67	 58	 -9	 1.870000e+00	 15	 35	 1.334177e+04	 1.334337e+04	 1.334625e+04	 1.334864e+04	 NaN	 1.320870e+04	 
06	 14	 1	 42	 53	 62	 9	 2.050000e+00	 15	 35	 1.334964e+04	 1.335116e+04	 1.335421e+04	 1.335674e+04	 NaN	 1.320870e+04	 
06	 15	 1	 14	 32	 29	 -3	 2.060000e+00	 15	 35	 1.335777e+04	 1.335999e+04	 1.336306e+04	 1.336517e+04	 NaN	 1.320870e+04	 
06	 16	 1	 62	 56	 34	 -22	 2.740000e+00	 15	 35	 1.336620e+04	 1.336928e+04	 1.337303e+04	 1.337530e+04	 NaN	 1.320870e+04	 
06	 17	 1	 43	 26	 28	 2	 2.210000e+00	 15	 35	 1.337632e+04	 1.337776e+04	 1.338098e+04	 1.338421e+04	 NaN	 1.320870e+04	 
06	 18	 1	 74	 58	 35	 -23	 2.230000e+00	 5	 65	 1.338523e+04	 1.338632e+04	 1.338956e+04	 1.339179e+04	 NaN	 1.320870e+04	 
06	 19	 1	 78	 81	 66	 -15	 2.630000e+00	 5	 65	 1.339281e+04	 1.339772e+04	 1.340136e+04	 1.340377e+04	 NaN	 1.320870e+04	 
06	 20	 1	 9	 32	 47	 15	 2.190000e+00	 5	 65	 1.340478e+04	 1.340660e+04	 1.340979e+04	 1.341187e+04	 NaN	 1.320870e+04	 
06	 21	 1	 16	 61	 68	 7	 1.740000e+00	 5	 65	 1.341289e+04	 1.341450e+04	 1.341725e+04	 1.341995e+04	 NaN	 1.320870e+04	 
06	 22	 1	 51	 67	 50	 -17	 1.730000e+00	 5	 65	 1.342096e+04	 1.342752e+04	 1.343026e+04	 1.343407e+04	 NaN	 1.320870e+04	 
06	 23	 1	 41	 65	 64	 -1	 1.790000e+00	 15	 35	 1.343509e+04	 1.343695e+04	 1.343975e+04	 1.344224e+04	 NaN	 1.320870e+04	 
06	 24	 1	 71	 54	 43	 -11	 2.690000e+00	 15	 35	 1.344325e+04	 1.344785e+04	 1.345155e+04	 1.345379e+04	 NaN	 1.320870e+04	 
06	 25	 1	 3	 31	 31	 0	 2.040000e+00	 15	 35	 1.345480e+04	 1.345684e+04	 1.345988e+04	 1.346240e+04	 NaN	 1.320870e+04	 
06	 26	 1	 31	 52	 25	 -27	 2.120000e+00	 15	 35	 1.346342e+04	 1.346657e+04	 1.346970e+04	 1.347215e+04	 NaN	 1.320870e+04	 
06	 27	 1	 74	 58	 33	 -25	 2.360000e+00	 5	 65	 1.347316e+04	 1.348123e+04	 1.348460e+04	 1.348850e+04	 NaN	 1.320870e+04	 
06	 28	 1	 2	 29	 39	 10	 1.970000e+00	 5	 65	 1.348952e+04	 1.349724e+04	 1.350021e+04	 1.350285e+04	 NaN	 1.320870e+04	 
