subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
06	 1	 2	 11	 34	 64	 30	 3.400000e+00	 5	 35	 1.375659e+04	 1.376315e+04	 1.376760e+04	 1.377110e+04	 NaN	 
06	 2	 2	 25	 49	 67	 18	 1.970000e+00	 5	 35	 1.377213e+04	 1.377436e+04	 1.377735e+04	 1.377977e+04	 NaN	 
06	 3	 2	 41	 60	 69	 9	 1.960000e+00	 5	 35	 1.378079e+04	 1.378239e+04	 1.378537e+04	 1.378774e+04	 NaN	 
06	 4	 2	 50	 70	 55	 -15	 2.340000e+00	 5	 35	 1.378876e+04	 1.379000e+04	 1.379335e+04	 1.379606e+04	 NaN	 
06	 5	 2	 64	 56	 61	 5	 2	 5	 35	 1.379708e+04	 1.379934e+04	 1.380234e+04	 1.380471e+04	 NaN	 
06	 6	 2	 53	 45	 61	 16	 2.290000e+00	 15	 65	 1.380573e+04	 1.380762e+04	 1.381092e+04	 1.381452e+04	 NaN	 
06	 7	 2	 96	 53	 20	 -33	 2.920000e+00	 15	 65	 1.381555e+04	 1.381810e+04	 1.382203e+04	 1.382415e+04	 NaN	 
06	 8	 2	 28	 65	 50	 -15	 2.250000e+00	 15	 65	 1.382516e+04	 1.382637e+04	 1.382963e+04	 1.383173e+04	 NaN	 
06	 9	 2	 65	 45	 42	 -3	 2.140000e+00	 15	 65	 1.383275e+04	 1.383470e+04	 1.383785e+04	 1.384054e+04	 NaN	 
06	 10	 2	 3	 48	 5	 -43	 2.380000e+00	 15	 65	 1.384157e+04	 1.384784e+04	 1.385123e+04	 1.385382e+04	 NaN	 
06	 11	 2	 73	 52	 28	 -24	 2.400000e+00	 15	 65	 1.385483e+04	 1.386256e+04	 1.386597e+04	 1.386961e+04	 NaN	 
06	 12	 2	 95	 44	 36	 -8	 3.040000e+00	 5	 35	 1.387062e+04	 1.387499e+04	 1.387903e+04	 1.388123e+04	 NaN	 
06	 13	 2	 52	 63	 60	 -3	 1.940000e+00	 5	 35	 1.388225e+04	 1.388684e+04	 1.388978e+04	 1.389224e+04	 NaN	 
06	 14	 2	 14	 33	 69	 36	 2.060000e+00	 5	 35	 1.389327e+04	 1.389530e+04	 1.389837e+04	 1.390104e+04	 NaN	 
06	 15	 2	 50	 56	 66	 10	 1.750000e+00	 5	 35	 1.390207e+04	 1.390394e+04	 1.390670e+04	 1.390896e+04	 NaN	 
06	 16	 2	 74	 63	 72	 9	 2.220000e+00	 5	 35	 1.390998e+04	 1.391108e+04	 1.391430e+04	 1.391683e+04	 NaN	 
06	 17	 2	 70	 90	 63	 -27	 2.140000e+00	 5	 35	 1.391786e+04	 1.391972e+04	 1.392286e+04	 1.392508e+04	 NaN	 
06	 18	 2	 46	 58	 23	 -35	 2.370000e+00	 15	 65	 1.392610e+04	 1.392922e+04	 1.393260e+04	 1.393480e+04	 NaN	 
06	 19	 2	 12	 35	 40	 5	 2.650000e+00	 15	 65	 1.393581e+04	 1.394330e+04	 1.394695e+04	 1.394931e+04	 NaN	 
