subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
01	 1	 1	 22	 74	 42	 -32	 3.440000e+00	 5	 65	 1.519731e+04	 1.519915e+04	 1.520365e+04	 1.520576e+04	 NaN	 1.519219e+04	 
01	 2	 1	 83	 59	 37	 -22	 2.680000e+00	 5	 65	 1.520681e+04	 1.521235e+04	 1.521605e+04	 1.521855e+04	 NaN	 1.519219e+04	 
01	 3	 1	 88	 88	 43	 -45	 1.680000e+00	 5	 65	 1.521958e+04	 1.522181e+04	 1.522451e+04	 1.522678e+04	 NaN	 1.519219e+04	 
01	 4	 1	 7	 68	 35	 -33	 3.130000e+00	 5	 65	 1.522781e+04	 1.522971e+04	 1.523386e+04	 1.523641e+04	 NaN	 1.519219e+04	 
01	 5	 1	 72	 NaN	 31	 NaN	 3.780000e+00	 5	 65	 1.523745e+04	 1.524260e+04	 NaN	 NaN	 1.524740e+04	 1.519219e+04	 
01	 6	 1	 54	 22	 29	 7	 1.970000e+00	 5	 65	 1.524900e+04	 1.525126e+04	 1.525425e+04	 1.525695e+04	 NaN	 1.519219e+04	 
01	 7	 1	 99	 NaN	 77	 NaN	 3.520000e+00	 15	 35	 1.525798e+04	 1.526040e+04	 NaN	 NaN	 1.526493e+04	 1.519219e+04	 
01	 8	 1	 45	 NaN	 60	 NaN	 3.520000e+00	 15	 35	 1.526650e+04	 1.526803e+04	 NaN	 NaN	 1.527256e+04	 1.519219e+04	 
01	 9	 1	 66	 NaN	 95	 NaN	 3.520000e+00	 15	 35	 1.527411e+04	 1.528040e+04	 NaN	 NaN	 1.528493e+04	 1.519219e+04	 
01	 10	 1	 96	 71	 87	 16	 3.100000e+00	 15	 35	 1.528648e+04	 1.528835e+04	 1.529246e+04	 1.529485e+04	 NaN	 1.519219e+04	 
01	 11	 1	 35	 NaN	 53	 NaN	 3.520000e+00	 15	 35	 1.529588e+04	 1.530025e+04	 NaN	 NaN	 1.530478e+04	 1.519219e+04	 
01	 12	 1	 11	 NaN	 74	 NaN	 3.670000e+00	 15	 35	 1.530633e+04	 1.531440e+04	 NaN	 NaN	 1.531908e+04	 1.519219e+04	 
