subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
77	 1	 2	 48	 65	 64	 -1	 2.540000e+00	 15	 65	 1.890444e+03	 1.891561e+03	 1.895144e+03	 1.897677e+03	 NaN	 
77	 2	 2	 91	 22	 67	 45	 2.600000e+00	 15	 65	 1.898694e+03	 1.903077e+03	 1.906694e+03	 1.909261e+03	 NaN	 
77	 3	 2	 23	 59	 69	 10	 1.660000e+00	 15	 65	 1.910277e+03	 1.911528e+03	 1.914211e+03	 1.916461e+03	 NaN	 
77	 4	 2	 92	 67	 55	 -12	 1.460000e+00	 15	 65	 1.917477e+03	 1.923077e+03	 1.925561e+03	 1.928111e+03	 NaN	 
77	 5	 2	 86	 70	 61	 -9	 1.260000e+00	 15	 65	 1.929144e+03	 1.932278e+03	 1.934561e+03	 1.937611e+03	 NaN	 
77	 6	 2	 57	 66	 61	 -5	 1.280000e+00	 15	 65	 1.938628e+03	 1.946694e+03	 1.948994e+03	 1.951794e+03	 NaN	 
77	 7	 2	 55	 68	 20	 -48	 1.430000e+00	 5	 35	 1.952811e+03	 1.960544e+03	 1.962994e+03	 1.965361e+03	 NaN	 
77	 8	 2	 49	 37	 50	 13	 1.200000e+00	 5	 35	 1.966378e+03	 1.970245e+03	 1.972461e+03	 1.975928e+03	 NaN	 
77	 9	 2	 37	 69	 42	 -27	 2.230000e+00	 5	 35	 1.976961e+03	 1.980128e+03	 1.983378e+03	 1.985461e+03	 NaN	 
77	 10	 2	 77	 57	 5	 -52	 1.960000e+00	 5	 35	 1.986478e+03	 1.988362e+03	 1.991345e+03	 1.993828e+03	 NaN	 
77	 11	 2	 72	 23	 28	 5	 1.200000e+00	 5	 35	 1.994845e+03	 1.999445e+03	 2.001661e+03	 2.004145e+03	 NaN	 
77	 12	 2	 31	 1	 36	 35	 1.200000e+00	 15	 65	 2.005161e+03	 2.008262e+03	 2.010478e+03	 2.013145e+03	 NaN	 
77	 13	 2	 76	 100	 60	 -40	 1.130000e+00	 15	 65	 2.014161e+03	 2.016195e+03	 2.018345e+03	 2.021228e+03	 NaN	 
77	 14	 2	 34	 21	 69	 48	 1.230000e+00	 15	 65	 2.022245e+03	 2.023695e+03	 2.025945e+03	 2.029345e+03	 NaN	 
77	 15	 2	 67	 78	 66	 -12	 1.170000e+00	 15	 65	 2.030361e+03	 2.032595e+03	 2.034778e+03	 2.037162e+03	 NaN	 
77	 16	 2	 33	 72	 72	 0	 2.050000e+00	 15	 65	 2.038178e+03	 2.043095e+03	 2.046161e+03	 2.049978e+03	 NaN	 
77	 17	 2	 41	 65	 63	 -2	 1.480000e+00	 15	 65	 2.050995e+03	 2.058495e+03	 2.060995e+03	 2.063678e+03	 NaN	 
77	 18	 2	 9	 66	 23	 -43	 1.870000e+00	 5	 35	 2.064712e+03	 2.067612e+03	 2.070495e+03	 2.074395e+03	 NaN	 
77	 19	 2	 55	 28	 40	 12	 3.220000e+00	 5	 35	 2.075412e+03	 2.077279e+03	 2.081512e+03	 2.084145e+03	 NaN	 
77	 20	 2	 55	 30	 47	 17	 1.850000e+00	 5	 35	 2.085162e+03	 2.087195e+03	 2.090062e+03	 2.092262e+03	 NaN	 
77	 21	 2	 69	 34	 57	 23	 2.500000e+00	 5	 35	 2.093295e+03	 2.094912e+03	 2.098429e+03	 2.100528e+03	 NaN	 
77	 22	 2	 54	 27	 65	 38	 1.480000e+00	 5	 35	 2.101545e+03	 2.103495e+03	 2.105995e+03	 2.108345e+03	 NaN	 
77	 23	 2	 83	 63	 65	 2	 1.200000e+00	 5	 35	 2.109362e+03	 2.111179e+03	 2.113395e+03	 2.115912e+03	 NaN	 
77	 24	 2	 54	 54	 64	 10	 1.050000e+00	 15	 65	 2.116929e+03	 2.118462e+03	 2.120529e+03	 2.122762e+03	 NaN	 
77	 25	 2	 67	 37	 59	 22	 1.770000e+00	 15	 65	 2.123779e+03	 2.127462e+03	 2.130245e+03	 2.132445e+03	 NaN	 
77	 26	 2	 82	 82	 34	 -48	 9.800000e-01	 15	 65	 2.133462e+03	 2.135062e+03	 2.137062e+03	 2.141095e+03	 NaN	 
77	 27	 2	 77	 36	 17	 -19	 1.520000e+00	 15	 65	 2.142112e+03	 2.147629e+03	 2.150162e+03	 2.152612e+03	 NaN	 
77	 28	 2	 74	 43	 53	 10	 1.550000e+00	 15	 65	 2.153629e+03	 2.156046e+03	 2.158612e+03	 2.160862e+03	 NaN	 
77	 29	 2	 82	 39	 35	 -4	 1.580000e+00	 5	 35	 2.161879e+03	 2.164146e+03	 2.166746e+03	 2.169162e+03	 NaN	 
77	 30	 2	 92	 43	 26	 -17	 1.470000e+00	 5	 35	 2.170179e+03	 2.174546e+03	 2.177029e+03	 2.180529e+03	 NaN	 
77	 31	 2	 33	 NaN	 58	 NaN	 3.520000e+00	 5	 35	 2.181546e+03	 2.183179e+03	 NaN	 NaN	 2.187712e+03	 
77	 32	 2	 58	 67	 66	 -1	 2.980000e+00	 5	 35	 2.189262e+03	 2.191763e+03	 2.195762e+03	 2.198462e+03	 NaN	 
77	 33	 2	 36	 36	 75	 39	 6.300000e-01	 15	 65	 2.199479e+03	 2.205762e+03	 2.207413e+03	 2.209529e+03	 NaN	 
77	 34	 2	 37	 37	 73	 36	 1.370000e+00	 15	 65	 2.210546e+03	 2.215696e+03	 2.218079e+03	 2.221312e+03	 NaN	 
77	 35	 2	 80	 63	 68	 5	 2.370000e+00	 15	 65	 2.222329e+03	 2.227246e+03	 2.230629e+03	 2.234146e+03	 NaN	 
77	 36	 2	 77	 37	 65	 28	 1.800000e+00	 15	 65	 2.235162e+03	 2.237063e+03	 2.239879e+03	 2.242296e+03	 NaN	 
77	 37	 2	 40	 40	 13	 -27	 1.050000e+00	 5	 35	 2.243313e+03	 2.249880e+03	 2.251946e+03	 2.255546e+03	 NaN	 
77	 38	 2	 55	 55	 32	 -23	 9.500000e-01	 5	 35	 2.256563e+03	 2.257779e+03	 2.259746e+03	 2.263746e+03	 NaN	 
77	 39	 2	 24	 24	 65	 41	 1.150000e+00	 5	 35	 2.264763e+03	 2.266630e+03	 2.268796e+03	 2.272429e+03	 NaN	 
77	 40	 2	 35	 75	 44	 -31	 1.300000e+00	 5	 35	 2.273446e+03	 2.284797e+03	 2.287113e+03	 2.289346e+03	 NaN	 
77	 41	 2	 17	 28	 38	 10	 1.350000e+00	 5	 35	 2.290363e+03	 2.292379e+03	 2.294746e+03	 2.297013e+03	 NaN	 
77	 42	 2	 75	 38	 30	 -8	 1.700000e+00	 5	 35	 2.298030e+03	 2.300580e+03	 2.303296e+03	 2.305713e+03	 NaN	 
