subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
tal	 1	 1	 84	 39	 77	 38	 2.100000e+00	 5	 65	 1.365305e+04	 1.365555e+04	 1.365868e+04	 1.366078e+04	 NaN	 1.364801e+04	 
tal	 2	 1	 75	 77	 60	 -17	 2.100000e+00	 5	 65	 1.366180e+04	 1.366343e+04	 1.366655e+04	 1.366877e+04	 NaN	 1.364801e+04	 
tal	 3	 1	 32	 61	 95	 34	 3.250000e+00	 5	 65	 1.366978e+04	 1.367233e+04	 1.367660e+04	 1.367925e+04	 NaN	 1.364801e+04	 
tal	 4	 1	 56	 48	 87	 39	 1.610000e+00	 5	 65	 1.368027e+04	 1.368212e+04	 1.368474e+04	 1.368742e+04	 NaN	 1.364801e+04	 
tal	 5	 1	 78	 59	 42	 -17	 2.900000e+00	 15	 35	 1.368844e+04	 1.369004e+04	 1.369395e+04	 1.369740e+04	 NaN	 1.364801e+04	 
tal	 6	 1	 86	 NaN	 37	 NaN	 3.770000e+00	 15	 35	 1.369842e+04	 1.370334e+04	 NaN	 NaN	 1.370812e+04	 1.364801e+04	 
tal	 7	 1	 47	 47	 43	 -4	 1.550000e+00	 15	 35	 1.370966e+04	 1.371594e+04	 1.371850e+04	 1.372238e+04	 NaN	 1.364801e+04	 
tal	 8	 1	 93	 46	 35	 -11	 3.340000e+00	 15	 35	 1.372340e+04	 1.373088e+04	 1.373523e+04	 1.373748e+04	 NaN	 1.364801e+04	 
tal	 9	 1	 90	 NaN	 31	 NaN	 3.640000e+00	 15	 35	 1.373849e+04	 1.374038e+04	 NaN	 NaN	 1.374503e+04	 1.364801e+04	 
tal	 10	 1	 100	 40	 53	 13	 3.180000e+00	 15	 35	 1.374656e+04	 1.375311e+04	 1.375730e+04	 1.376069e+04	 NaN	 1.364801e+04	 
tal	 11	 1	 19	 46	 74	 28	 2.400000e+00	 5	 65	 1.376170e+04	 1.376357e+04	 1.376698e+04	 1.376916e+04	 NaN	 1.364801e+04	 
